datetime,symbol,direction,offset,price,volume,pnl
2025-10-10 17:00:00+00:00,btcusdt,多,开,118150.0,0.08463817,0
2025-10-10 18:00:00+00:00,btcusdt,空,平,117590.8,0.08463817,0
2025-10-10 19:00:00+00:00,btcusdt,多,开,117178.5,0.08533989,0
2025-10-10 20:00:00+00:00,btcusdt,空,平,116605.3,0.08533989,0
2025-10-10 21:00:00+00:00,btcusdt,多,开,114198.0,0.08756721,0
2025-10-10 22:00:00+00:00,btcusdt,空,平,113253.6,0.08756721,0
2025-10-10 23:00:00+00:00,btcusdt,空,开,113606.3,0.08802329,0
2025-10-11 03:00:00+00:00,btcusdt,多,平,113175.3,0.08802329,0
2025-10-11 04:00:00+00:00,btcusdt,空,开,112261.9,0.08907742,0
2025-10-11 10:00:00+00:00,btcusdt,多,平,111576.8,0.08907742,0
2025-10-11 21:00:00+00:00,btcusdt,多,开,110184.8,0.09075662,0
2025-10-12 01:00:00+00:00,btcusdt,空,平,109600.7,0.09075662,0
2025-10-12 21:00:00+00:00,btcusdt,空,开,114864.5,0.0870591,0
2025-10-12 23:00:00+00:00,btcusdt,多,平,115160.7,0.0870591,0
2025-10-14 07:00:00+00:00,btcusdt,多,开,111933.4,0.08933876,0
2025-10-14 10:00:00+00:00,btcusdt,空,平,111237.4,0.08933876,0
2025-10-15 16:00:00+00:00,btcusdt,多,开,110757.4,0.09028734,0
2025-10-15 22:00:00+00:00,btcusdt,空,平,110795.9,0.09028734,0
2025-10-16 16:00:00+00:00,btcusdt,多,开,108473.9,0.09218799,0
2025-10-16 18:00:00+00:00,btcusdt,空,平,108220.5,0.09218799,0
2025-10-17 08:00:00+00:00,btcusdt,多,开,105578.3,0.09471643,0
2025-10-17 09:00:00+00:00,btcusdt,空,平,104845.2,0.09471643,0
2025-10-17 10:00:00+00:00,btcusdt,多,开,104487.5,0.09570523,0
2025-10-17 12:00:00+00:00,btcusdt,空,平,105610.5,0.09570523,0
2025-10-19 18:00:00+00:00,btcusdt,空,开,109036.3,0.09171258,0
2025-10-19 23:00:00+00:00,btcusdt,多,平,109088.8,0.09171258,0
2025-10-20 05:00:00+00:00,btcusdt,空,开,110369.3,0.09060491,0
2025-10-20 06:00:00+00:00,btcusdt,多,平,110973.6,0.09060491,0
2025-10-20 07:00:00+00:00,btcusdt,空,开,111232.1,0.08990211,0
2025-10-20 14:00:00+00:00,btcusdt,多,平,111098.3,0.08990211,0
2025-10-21 05:00:00+00:00,btcusdt,多,开,107743.4,0.09281311,0
2025-10-21 09:00:00+00:00,btcusdt,空,平,107649.7,0.09281311,0
2025-10-21 16:00:00+00:00,btcusdt,空,开,113355.2,0.08821827,0
2025-10-21 23:00:00+00:00,btcusdt,多,平,109008.0,0.08821827,0
2025-10-23 18:00:00+00:00,btcusdt,空,开,111175.6,0.08994812,0
2025-10-23 23:00:00+00:00,btcusdt,多,平,109890.0,0.08994812,0
2025-10-26 10:00:00+00:00,btcusdt,空,开,112478.0,0.08890635,0
2025-10-26 11:00:00+00:00,btcusdt,多,平,112425.2,0.08890635,0
2025-10-26 12:00:00+00:00,btcusdt,空,开,113235.2,0.08831176,0
2025-10-26 13:00:00+00:00,btcusdt,多,平,113530.7,0.08831176,0
2025-10-26 14:00:00+00:00,btcusdt,空,开,113669.4,0.08797442,0
2025-10-26 20:00:00+00:00,btcusdt,多,平,113546.2,0.08797442,0
2025-10-27 07:00:00+00:00,btcusdt,空,开,116008.9,0.08620036,0
2025-10-27 11:00:00+00:00,btcusdt,多,平,115411.8,0.08620036,0
2025-10-29 17:00:00+00:00,btcusdt,多,开,111060.0,0.09004142,0
2025-10-29 19:00:00+00:00,btcusdt,空,平,110743.0,0.09004142,0
2025-10-30 05:00:00+00:00,btcusdt,多,开,108503.7,0.09216276,0
2025-10-30 09:00:00+00:00,btcusdt,空,平,110649.6,0.09216276,0
2025-11-03 04:00:00+00:00,btcusdt,多,开,107886.0,0.09269043,0
2025-11-03 06:00:00+00:00,btcusdt,空,平,107556.9,0.09269043,0
2025-11-03 07:00:00+00:00,btcusdt,多,开,107452.8,0.09306412,0
2025-11-03 10:00:00+00:00,btcusdt,空,平,107173.1,0.09306412,0
2025-11-03 16:00:00+00:00,btcusdt,多,开,105718.8,0.09459056,0
2025-11-03 19:00:00+00:00,btcusdt,空,平,106905.9,0.09459056,0
2025-11-04 06:00:00+00:00,btcusdt,多,开,104164.3,0.09600218,0
2025-11-04 08:00:00+00:00,btcusdt,空,平,104442.9,0.09600218,0
2025-11-04 18:00:00+00:00,btcusdt,多,开,101074.8,0.09893663,0
2025-11-04 20:00:00+00:00,btcusdt,空,平,100507.0,0.09893663,0
2025-11-07 13:00:00+00:00,btcusdt,多,开,99608.9,0.10039264,0
2025-11-08 00:00:00+00:00,btcusdt,空,平,103305.3,0.10039264,0
2025-11-09 16:00:00+00:00,btcusdt,空,开,103715.8,0.09641733,0
2025-11-09 17:00:00+00:00,btcusdt,多,平,103814.8,0.09641733,0
2025-11-09 19:00:00+00:00,btcusdt,空,开,104479.8,0.09571228,0
2025-11-09 20:00:00+00:00,btcusdt,多,平,104764.1,0.09571228,0
