datetime,symbol,direction,offset,price,volume,pnl
2025-10-10 17:00:00+00:00,btcusdt,多,开,118150.0,0.05924672,0
2025-10-10 18:00:00+00:00,btcusdt,空,平,117590.8,0.05924672,0
2025-10-10 19:00:00+00:00,btcusdt,多,开,117178.5,0.05973792,0
2025-10-10 20:00:00+00:00,btcusdt,空,平,116605.3,0.05973792,0
2025-10-10 21:00:00+00:00,btcusdt,多,开,114198.0,0.06129705,0
2025-10-10 22:00:00+00:00,btcusdt,空,平,113253.6,0.06129705,0
2025-10-10 23:00:00+00:00,btcusdt,空,开,113606.3,0.0616163,0
2025-10-11 03:00:00+00:00,btcusdt,多,平,113175.3,0.0616163,0
2025-10-11 04:00:00+00:00,btcusdt,空,开,112261.9,0.06235419,0
2025-10-11 10:00:00+00:00,btcusdt,多,平,111576.8,0.06235419,0
2025-10-11 21:00:00+00:00,btcusdt,多,开,110184.8,0.06352963,0
2025-10-12 01:00:00+00:00,btcusdt,空,平,109600.7,0.06352963,0
2025-10-12 21:00:00+00:00,btcusdt,空,开,114864.5,0.06094137,0
2025-10-12 23:00:00+00:00,btcusdt,多,平,115160.7,0.06094137,0
2025-10-14 07:00:00+00:00,btcusdt,多,开,111933.4,0.06253713,0
2025-10-14 10:00:00+00:00,btcusdt,空,平,111237.4,0.06253713,0
2025-10-15 16:00:00+00:00,btcusdt,多,开,110757.4,0.06320114,0
2025-10-15 22:00:00+00:00,btcusdt,空,平,110795.9,0.06320114,0
2025-10-16 16:00:00+00:00,btcusdt,多,开,108473.9,0.06453159,0
2025-10-16 18:00:00+00:00,btcusdt,空,平,108220.5,0.06453159,0
2025-10-17 08:00:00+00:00,btcusdt,多,开,105578.3,0.0663015,0
2025-10-17 09:00:00+00:00,btcusdt,空,平,104845.2,0.0663015,0
2025-10-17 10:00:00+00:00,btcusdt,多,开,104487.5,0.06699366,0
2025-10-17 12:00:00+00:00,btcusdt,空,平,105610.5,0.06699366,0
2025-10-19 18:00:00+00:00,btcusdt,空,开,109036.3,0.0641988,0
2025-10-19 23:00:00+00:00,btcusdt,多,平,109088.8,0.0641988,0
2025-10-20 05:00:00+00:00,btcusdt,空,开,110369.3,0.06342343,0
2025-10-20 06:00:00+00:00,btcusdt,多,平,110973.6,0.06342343,0
2025-10-20 07:00:00+00:00,btcusdt,空,开,111232.1,0.06293147,0
2025-10-20 14:00:00+00:00,btcusdt,多,平,111098.3,0.06293147,0
2025-10-21 05:00:00+00:00,btcusdt,多,开,107743.4,0.06496918,0
2025-10-21 09:00:00+00:00,btcusdt,空,平,107649.7,0.06496918,0
2025-10-21 16:00:00+00:00,btcusdt,空,开,113355.2,0.06175279,0
2025-10-21 23:00:00+00:00,btcusdt,多,平,109008.0,0.06175279,0
2025-10-23 18:00:00+00:00,btcusdt,空,开,111175.6,0.06296368,0
2025-10-23 23:00:00+00:00,btcusdt,多,平,109890.0,0.06296368,0
2025-10-26 10:00:00+00:00,btcusdt,空,开,112478.0,0.06223445,0
2025-10-26 11:00:00+00:00,btcusdt,多,平,112425.2,0.06223445,0
2025-10-26 12:00:00+00:00,btcusdt,空,开,113235.2,0.06181823,0
2025-10-26 13:00:00+00:00,btcusdt,多,平,113530.7,0.06181823,0
2025-10-26 14:00:00+00:00,btcusdt,空,开,113669.4,0.0615821,0
2025-10-26 20:00:00+00:00,btcusdt,多,平,113546.2,0.0615821,0
2025-10-27 07:00:00+00:00,btcusdt,空,开,116008.9,0.06034025,0
2025-10-27 11:00:00+00:00,btcusdt,多,平,115411.8,0.06034025,0
2025-10-29 17:00:00+00:00,btcusdt,多,开,111060.0,0.06302899,0
2025-10-29 19:00:00+00:00,btcusdt,空,平,110743.0,0.06302899,0
2025-10-30 05:00:00+00:00,btcusdt,多,开,108503.7,0.06451393,0
2025-10-30 09:00:00+00:00,btcusdt,空,平,110649.6,0.06451393,0
2025-11-03 04:00:00+00:00,btcusdt,多,开,107886.0,0.0648833,0
2025-11-03 06:00:00+00:00,btcusdt,空,平,107556.9,0.0648833,0
2025-11-03 07:00:00+00:00,btcusdt,多,开,107452.8,0.06514488,0
2025-11-03 10:00:00+00:00,btcusdt,空,平,107173.1,0.06514488,0
2025-11-03 16:00:00+00:00,btcusdt,多,开,105718.8,0.06621339,0
2025-11-03 19:00:00+00:00,btcusdt,空,平,106905.9,0.06621339,0
2025-11-04 06:00:00+00:00,btcusdt,多,开,104164.3,0.06720153,0
2025-11-04 08:00:00+00:00,btcusdt,空,平,104442.9,0.06720153,0
2025-11-04 18:00:00+00:00,btcusdt,多,开,101074.8,0.06925564,0
2025-11-04 20:00:00+00:00,btcusdt,空,平,100507.0,0.06925564,0
2025-11-07 13:00:00+00:00,btcusdt,多,开,99608.9,0.07027484,0
2025-11-08 00:00:00+00:00,btcusdt,空,平,103305.3,0.07027484,0
2025-11-09 16:00:00+00:00,btcusdt,空,开,103715.8,0.06749213,0
2025-11-09 17:00:00+00:00,btcusdt,多,平,103814.8,0.06749213,0
2025-11-09 19:00:00+00:00,btcusdt,空,开,104479.8,0.0669986,0
2025-11-09 20:00:00+00:00,btcusdt,多,平,104764.1,0.0669986,0
2025-11-10 01:00:00+00:00,btcusdt,空,开,106268.0,0.06587119,0
2025-11-10 05:00:00+00:00,btcusdt,多,平,106115.9,0.06587119,0
2025-11-12 17:00:00+00:00,btcusdt,多,开,101393.1,0.06903823,0
2025-11-12 19:00:00+00:00,btcusdt,空,平,101493.6,0.06903823,0
2025-11-13 18:00:00+00:00,btcusdt,多,开,99601.4,0.07028014,0
2025-11-13 19:00:00+00:00,btcusdt,空,平,98539.7,0.07028014,0
2025-11-13 20:00:00+00:00,btcusdt,多,开,98643.1,0.0709629,0
2025-11-13 21:00:00+00:00,btcusdt,空,平,98132.1,0.0709629,0
2025-11-14 13:00:00+00:00,btcusdt,多,开,95327.0,0.07343145,0
2025-11-14 18:00:00+00:00,btcusdt,空,平,95813.8,0.07343145,0
2025-11-17 20:00:00+00:00,btcusdt,多,开,91656.2,0.07637236,0
2025-11-18 03:00:00+00:00,btcusdt,空,平,90837.6,0.07637236,0
2025-11-20 17:00:00+00:00,btcusdt,多,开,87855.5,0.07967629,0
2025-11-20 18:00:00+00:00,btcusdt,空,平,87186.1,0.07967629,0
2025-11-20 19:00:00+00:00,btcusdt,多,开,86445.7,0.08097569,0
2025-11-21 00:00:00+00:00,btcusdt,空,平,86601.4,0.08097569,0
2025-11-21 10:00:00+00:00,btcusdt,多,开,82188.7,0.08516986,0
2025-11-21 12:00:00+00:00,btcusdt,空,平,82279.2,0.08516986,0
2025-11-21 13:00:00+00:00,btcusdt,空,开,83240.1,0.08409408,0
2025-11-21 15:00:00+00:00,btcusdt,多,平,84801.0,0.08409408,0
2025-11-23 22:00:00+00:00,btcusdt,空,开,87945.0,0.0795952,0
2025-11-24 01:00:00+00:00,btcusdt,多,平,86701.7,0.0795952,0
2025-11-26 19:00:00+00:00,btcusdt,空,开,90103.5,0.07768852,0
2025-11-26 22:00:00+00:00,btcusdt,多,平,90142.8,0.07768852,0
2025-12-01 01:00:00+00:00,btcusdt,多,开,86970.6,0.08048688,0
2025-12-01 02:00:00+00:00,btcusdt,空,平,87134.0,0.08048688,0
2025-12-01 03:00:00+00:00,btcusdt,多,开,86685.6,0.08075159,0
2025-12-01 05:00:00+00:00,btcusdt,空,平,85767.7,0.08075159,0
2025-12-02 16:00:00+00:00,btcusdt,空,开,90809.2,0.0770847,0
2025-12-02 18:00:00+00:00,btcusdt,多,平,91417.5,0.0770847,0
2025-12-02 19:00:00+00:00,btcusdt,空,开,91905.0,0.07616561,0
2025-12-02 22:00:00+00:00,btcusdt,多,平,91500.2,0.07616561,0
2025-12-05 14:00:00+00:00,btcusdt,多,开,90433.6,0.07740486,0
2025-12-05 16:00:00+00:00,btcusdt,空,平,90414.0,0.07740486,0
2025-12-05 17:00:00+00:00,btcusdt,多,开,88757.5,0.07886657,0
2025-12-05 19:00:00+00:00,btcusdt,空,平,88895.0,0.07886657,0
2025-12-09 16:00:00+00:00,btcusdt,空,开,92676.9,0.07553123,0
2025-12-09 17:00:00+00:00,btcusdt,多,平,94146.8,0.07553123,0
2025-12-09 18:00:00+00:00,btcusdt,空,开,93884.5,0.0745597,0
2025-12-09 23:00:00+00:00,btcusdt,多,平,92832.0,0.0745597,0
2025-12-14 12:00:00+00:00,btcusdt,多,开,89308.2,0.07838026,0
2025-12-14 13:00:00+00:00,btcusdt,空,平,89382.9,0.07838026,0
2025-12-14 15:00:00+00:00,btcusdt,多,开,89074.1,0.07858626,0
2025-12-14 17:00:00+00:00,btcusdt,空,平,88780.0,0.07858626,0
2025-12-15 16:00:00+00:00,btcusdt,多,开,86996.5,0.08046291,0
2025-12-15 17:00:00+00:00,btcusdt,空,平,86360.6,0.08046291,0
2025-12-15 18:00:00+00:00,btcusdt,多,开,85734.2,0.0816476,0
2025-12-15 21:00:00+00:00,btcusdt,空,平,85763.2,0.0816476,0
2025-12-17 15:00:00+00:00,btcusdt,空,开,89634.0,0.07809545,0
2025-12-17 17:00:00+00:00,btcusdt,多,平,86945.8,0.07809545,0
2025-12-21 10:00:00+00:00,btcusdt,空,开,88868.0,0.07876851,0
2025-12-21 15:00:00+00:00,btcusdt,多,平,88019.0,0.07876851,0
2025-12-22 10:00:00+00:00,btcusdt,空,开,89785.3,0.07796376,0
2025-12-22 12:00:00+00:00,btcusdt,多,平,89905.2,0.07796376,0
2025-12-22 13:00:00+00:00,btcusdt,空,开,90171.2,0.07763011,0
2025-12-22 15:00:00+00:00,btcusdt,多,平,90088.4,0.07763011,0
2025-12-29 01:00:00+00:00,btcusdt,空,开,88262.2,0.07930915,0
2025-12-29 02:00:00+00:00,btcusdt,多,平,88419.3,0.07930915,0
2025-12-29 03:00:00+00:00,btcusdt,空,开,89129.1,0.07853776,0
2025-12-29 04:00:00+00:00,btcusdt,多,平,90091.5,0.07853776,0
2025-12-29 05:00:00+00:00,btcusdt,空,开,90100.1,0.07769137,0
2025-12-29 13:00:00+00:00,btcusdt,多,平,87343.9,0.07769137,0
2025-12-30 15:00:00+00:00,btcusdt,空,开,88831.5,0.07880096,0
2025-12-30 16:00:00+00:00,btcusdt,多,平,88966.8,0.07880096,0
2026-01-02 10:00:00+00:00,btcusdt,空,开,89430.0,0.0782736,0
2026-01-02 15:00:00+00:00,btcusdt,多,平,89536.4,0.0782736,0
2026-01-02 17:00:00+00:00,btcusdt,空,开,90334.0,0.0774902,0
2026-01-02 22:00:00+00:00,btcusdt,多,平,90015.4,0.0774902,0
2026-01-04 01:00:00+00:00,btcusdt,空,开,91301.4,0.07666914,0
2026-01-04 05:00:00+00:00,btcusdt,多,平,91354.9,0.07666914,0
2026-01-05 01:00:00+00:00,btcusdt,空,开,92368.1,0.07578374,0
2026-01-05 02:00:00+00:00,btcusdt,多,平,92916.9,0.07578374,0
2026-01-05 03:00:00+00:00,btcusdt,空,开,92990.4,0.07527659,0
2026-01-05 07:00:00+00:00,btcusdt,多,平,92454.4,0.07527659,0
2026-01-05 18:00:00+00:00,btcusdt,空,开,94273.0,0.07425244,0
2026-01-05 19:00:00+00:00,btcusdt,多,平,94400.4,0.07425244,0
2026-01-06 18:00:00+00:00,btcusdt,多,开,91547.5,0.07646295,0
2026-01-06 22:00:00+00:00,btcusdt,空,平,93207.8,0.07646295,0
2026-01-08 07:00:00+00:00,btcusdt,多,开,89844.0,0.07791283,0
2026-01-08 09:00:00+00:00,btcusdt,空,平,90200.0,0.07791283,0
2026-01-12 03:00:00+00:00,btcusdt,空,开,92168.8,0.07594761,0
2026-01-12 05:00:00+00:00,btcusdt,多,平,92126.6,0.07594761,0
2026-01-13 16:00:00+00:00,btcusdt,空,开,93407.9,0.07494013,0
2026-01-13 19:00:00+00:00,btcusdt,多,平,93581.0,0.07494013,0
2026-01-13 20:00:00+00:00,btcusdt,空,开,94179.6,0.07432615,0
2026-01-13 23:00:00+00:00,btcusdt,多,平,95730.4,0.07432615,0
2026-01-14 15:00:00+00:00,btcusdt,空,开,96449.0,0.07257722,0
2026-01-14 16:00:00+00:00,btcusdt,多,平,96691.9,0.07257722,0
