datetime,symbol,direction,offset,price,volume,pnl
2025-10-09 09:00:00+00:00,ethusdt,多,开,4326.26,1.61802573,0
2025-10-09 14:00:00+00:00,ethusdt,空,平,4349.36,1.61802573,0
2025-10-10 16:00:00+00:00,ethusdt,多,开,4100.48,1.70711722,0
2025-10-10 18:00:00+00:00,ethusdt,空,平,4092.01,1.70711722,0
2025-10-10 19:00:00+00:00,ethusdt,多,开,4051.85,1.72760591,0
2025-10-10 20:00:00+00:00,ethusdt,空,平,3994.99,1.72760591,0
2025-10-10 21:00:00+00:00,ethusdt,空,开,3864.76,1.81123796,0
2025-10-10 22:00:00+00:00,ethusdt,多,平,3941.17,1.81123796,0
2025-10-10 23:00:00+00:00,ethusdt,空,开,3852.96,1.81678973,0
2025-10-11 03:00:00+00:00,ethusdt,多,平,3839.04,1.81678973,0
2025-10-11 04:00:00+00:00,ethusdt,空,开,3789.56,1.84718015,0
2025-10-11 09:00:00+00:00,ethusdt,多,平,3812.89,1.84718015,0
2025-10-12 11:00:00+00:00,ethusdt,多,开,3817.59,1.83361754,0
2025-10-12 14:00:00+00:00,ethusdt,空,平,3808.15,1.83361754,0
2025-10-12 16:00:00+00:00,ethusdt,多,开,4032.37,1.7359475,0
2025-10-12 17:00:00+00:00,ethusdt,空,平,4104.17,1.7359475,0
2025-10-12 18:00:00+00:00,ethusdt,多,开,4125.21,1.69688331,0
2025-10-12 21:00:00+00:00,ethusdt,空,平,4134.72,1.69688331,0
2025-10-12 22:00:00+00:00,ethusdt,多,开,4133.94,1.69329985,0
2025-10-13 03:00:00+00:00,ethusdt,空,平,4157.0,1.69329985,0
2025-10-13 21:00:00+00:00,ethusdt,空,开,4285.03,1.63359416,0
2025-10-14 08:00:00+00:00,ethusdt,多,平,3979.28,1.63359416,0
2025-10-14 11:00:00+00:00,ethusdt,空,开,3940.78,1.77629809,0
2025-10-14 14:00:00+00:00,ethusdt,多,平,3954.0,1.77629809,0
2025-10-14 15:00:00+00:00,ethusdt,空,开,3967.68,1.76425518,0
2025-10-14 16:00:00+00:00,ethusdt,多,平,4083.25,1.76425518,0
2025-10-14 17:00:00+00:00,ethusdt,空,开,4094.23,1.7097232,0
2025-10-14 18:00:00+00:00,ethusdt,多,平,4099.36,1.7097232,0
2025-10-15 01:00:00+00:00,ethusdt,多,开,4117.73,1.69996576,0
2025-10-15 04:00:00+00:00,ethusdt,空,平,4079.71,1.69996576,0
2025-10-15 17:00:00+00:00,ethusdt,空,开,3974.61,1.76117908,0
2025-10-15 18:00:00+00:00,ethusdt,多,平,3990.96,1.76117908,0
2025-10-15 19:00:00+00:00,ethusdt,空,开,4005.43,1.7476276,0
2025-10-16 00:00:00+00:00,ethusdt,多,平,3983.8,1.7476276,0
2025-10-16 18:00:00+00:00,ethusdt,空,开,3920.15,1.78564596,0
2025-10-16 22:00:00+00:00,ethusdt,多,平,3881.61,1.78564596,0
2025-10-17 08:00:00+00:00,ethusdt,多,开,3754.78,1.86428535,0
2025-10-17 09:00:00+00:00,ethusdt,空,平,3707.37,1.86428535,0
2025-10-17 10:00:00+00:00,ethusdt,多,开,3722.3,1.88055772,0
2025-10-17 13:00:00+00:00,ethusdt,空,平,3773.7,1.88055772,0
2025-10-17 15:00:00+00:00,ethusdt,空,开,3749.1,1.86711477,0
2025-10-17 16:00:00+00:00,ethusdt,多,平,3796.02,1.86711477,0
2025-10-19 15:00:00+00:00,ethusdt,空,开,3987.3,1.75557835,0
2025-10-19 18:00:00+00:00,ethusdt,多,平,3991.44,1.75557835,0
2025-10-21 05:00:00+00:00,ethusdt,多,开,3849.22,1.81855025,0
2025-10-21 09:00:00+00:00,ethusdt,空,平,3866.4,1.81855025,0
2025-10-24 07:00:00+00:00,ethusdt,空,开,3980.87,1.75841401,0
2025-10-24 10:00:00+00:00,ethusdt,多,平,3956.87,1.75841401,0
2025-10-26 10:00:00+00:00,ethusdt,空,开,3986.09,1.75610686,0
2025-10-26 12:00:00+00:00,ethusdt,多,平,4043.08,1.75610686,0
2025-10-26 13:00:00+00:00,ethusdt,空,开,4071.0,1.71948347,0
2025-10-26 14:00:00+00:00,ethusdt,多,平,4082.38,1.71948347,0
2025-10-26 23:00:00+00:00,ethusdt,空,开,4158.55,1.68327903,0
2025-10-27 01:00:00+00:00,ethusdt,多,平,4168.64,1.68327903,0
2025-10-28 21:00:00+00:00,ethusdt,多,开,3977.0,1.76011627,0
2025-10-29 09:00:00+00:00,ethusdt,空,平,4005.57,1.76011627,0
2025-10-30 14:00:00+00:00,ethusdt,多,开,3764.65,1.85939766,0
2025-10-30 18:00:00+00:00,ethusdt,空,平,3769.66,1.85939766,0
2025-10-30 19:00:00+00:00,ethusdt,多,开,3720.0,1.88172043,0
2025-10-30 20:00:00+00:00,ethusdt,空,平,3685.25,1.88172043,0
2025-11-03 04:00:00+00:00,ethusdt,多,开,3734.73,1.87429881,0
2025-11-03 06:00:00+00:00,ethusdt,空,平,3730.26,1.87429881,0
2025-11-03 07:00:00+00:00,ethusdt,多,开,3717.01,1.8832341,0
2025-11-03 10:00:00+00:00,ethusdt,空,平,3701.71,1.8832341,0
2025-11-03 16:00:00+00:00,ethusdt,多,开,3587.38,1.95128478,0
2025-11-03 19:00:00+00:00,ethusdt,空,平,3630.75,1.95128478,0
2025-11-04 06:00:00+00:00,ethusdt,多,开,3490.3,2.00555826,0
2025-11-04 07:00:00+00:00,ethusdt,空,平,3510.89,2.00555826,0
2025-11-04 08:00:00+00:00,ethusdt,空,开,3492.79,2.0041285,0
2025-11-04 12:00:00+00:00,ethusdt,多,平,3527.78,2.0041285,0
2025-11-04 18:00:00+00:00,ethusdt,空,开,3371.58,2.07618409,0
