trade_id,symbol,signal_type,entry_price,exit_price,size,pnl,pnl_pct,slippage,entry_seq,exit_seq,strategy,regime,ev_score,confidence,equity_after
bt_1,BTCUSDT,long,76746.4,76991.27250100953,0.01954489070497118,4.786006268884342,0.04786006268884342,0.0031906708459228943,20,22,momentum,TRENDING,0.001187500000000001,0.473484375,10004.786006268885
bt_2,BTCUSDT,long,76461.1,76833.27507269685,0.01962720783431487,7.3047575025722375,0.07304757502572237,0.004867508742312701,23,25,momentum,TRENDING,4.425930798718016,0.87875,10012.090763771457
bt_3,BTCUSDT,long,76328.5,76698.07593631826,0.019675660003350238,7.271650468417878,0.07271650468417878,0.0048419127366351854,26,28,momentum,TRENDING,5.5908532442986685,0.87875,10019.362414239875
bt_4,BTCUSDT,long,76199.9,76690.8948321016,0.01972318024217855,9.683979571518302,0.09683979571518302,0.006443510189667083,30,32,momentum,MIXED,5.225001844766104,0.8549999999999999,10029.046393811394
bt_5,BTCUSDT,long,75803.5,76045.86839604875,0.019845481528843776,4.809917526961045,0.04809917526961045,0.0031973246096651765,33,35,momentum,MIXED,5.879044746807034,0.8549999999999999,10033.856311338355
bt_6,BTCUSDT,long,75993.1,76283.88380861863,0.01980546189984029,5.7591076426866055,0.057591076426866054,0.0038264501463767613,36,38,momentum,MIXED,5.481872436813316,0.8549999999999999,10039.615418981042
bt_7,BTCUSDT,long,75772.4,76394.86126512005,0.01987454947774066,12.371137211605653,0.12371137211605653,0.008214881211629284,39,41,momentum,TRENDING,6.106252092910397,0.87875,10051.986556192647
bt_8,BTCUSDT,long,75672.5,76092.01010708322,0.01802465166876592,7.5615235517016774,0.07561523551701678,0.0055437590549171365,42,44,momentum,TRENDING,6.228287313821656,0.87875,10059.548079744349
bt_9,BTCUSDT,long,75735.4,76039.65695547727,0.018393281381133633,5.596283794260624,0.055962837942606244,0.004017367776195519,45,47,momentum,TRENDING,6.364914279992135,0.87875,10065.14436353861
bt_10,BTCUSDT,long,75714.9,76115.62009055141,0.01577484795456867,6.321298500789612,0.06321298500789613,0.005292486558807028,48,50,momentum,MIXED,4.698525965872396,0.8549999999999999,10071.4656620394
bt_11,BTCUSDT,long,75822.9,76214.70796945208,0.017048401385952327,6.679699529434104,0.06679699529434104,0.005167409442953062,51,53,momentum,MIXED,4.979855887645387,0.8549999999999999,10078.145361568833
bt_12,BTCUSDT,long,75428.6,75763.16625554029,0.01503131906434023,5.028972135187558,0.05028972135187557,0.004435535798626534,54,56,momentum,TRENDING,5.028660707538799,0.87875,10083.17433370402
bt_13,BTCUSDT,long,75981.2,76274.33375032597,0.011087600510755113,3.2501499198337984,0.03250149919833799,0.0038579773723759437,57,59,momentum,TRENDING,3.8824117056014362,0.87875,10086.424483623854
bt_14,BTCUSDT,long,76016.5,76428.97986784179,0.018524494868793224,7.640981195315681,0.07640981195315681,0.005426188628018739,60,62,momentum,TRENDING,5.7293157606934155,0.87875,10094.06546481917
bt_15,BTCUSDT,long,75871.0,76360.37368966416,0.0187527136799598,9.17708468477757,0.0917708468477757,0.006450075650303331,63,65,momentum,TRENDING,5.844338458539566,0.87875,10103.242549503948
bt_16,BTCUSDT,long,76488.0,76726.19233926157,0.012005431415458045,2.8596017926923145,0.028596017926923144,0.0031141138382696863,66,68,momentum,TRENDING,4.101775599840582,0.87875,10106.10215129664
bt_17,BTCUSDT,long,76423.4,76842.8786239182,0.012926512121888218,5.422395516951594,0.05422395516951594,0.005488876756571933,69,71,momentum,TRENDING,4.1805436551963435,0.87875,10111.52454681359
bt_18,BTCUSDT,long,76660.4,77014.9917546621,0.019785034803132238,7.015610206893491,0.07015610206893491,0.004625487926779743,72,74,momentum,TRENDING,6.067122400151253,0.87875,10118.540157020485
bt_19,BTCUSDT,long,76392.0,76796.19027534917,0.015353721800167985,6.205825042044514,0.06205825042044513,0.005291002661917139,75,77,momentum,TRENDING,4.783701670286069,0.87875,10124.74598206253
bt_20,BTCUSDT,long,76364.20000000001,76886.81132542437,0.016687771133011304,8.721218190201306,0.08721218190201306,0.006843669224903209,78,80,momentum,TRENDING,5.133223519150515,0.87875,10133.467200252731
bt_21,BTCUSDT,long,76151.4,76546.01718828101,0.013012297147268252,5.134876113332081,0.05134876113332081,0.005182008318704789,81,83,momentum,MIXED,3.6834528071919124,0.8549999999999999,10138.602076366064
bt_22,BTCUSDT,long,73961.9,74087.18454867143,0.011095972280074282,1.3901538791798702,0.013901538791798703,0.001693906574485457,106,108,momentum,TRENDING,3.6146916513458804,0.87875,10139.992230245243
bt_23,BTCUSDT,long,73398.4,73599.49339162975,0.014603752053437766,2.936718030945739,0.029367180309457386,0.0027397517061645876,109,111,momentum,TRENDING,4.273649640910936,0.87875,10142.928948276189
bt_24,BTCUSDT,long,73498.9,73690.96876574054,0.010880127826208036,2.089732722679197,0.02089732722679197,0.0026132195956749095,112,114,momentum,TRENDING,3.3413439098887214,0.87875,10145.018680998868
bt_25,BTCUSDT,long,73128.0,73304.25823037574,0.011809377255149725,2.081499936832171,0.02081499936832171,0.002410270079528186,115,117,momentum,TRENDING,3.4300533440112515,0.87875,10147.1001809357
bt_26,BTCUSDT,long,70853.0,71054.02035366991,0.013439862948690288,2.7016860032208663,0.027016860032208663,0.0028371466793207325,137,139,momentum,MIXED,3.1446228535665472,0.8549999999999999,10149.801866938922
bt_27,BTCUSDT,long,70911.4,71118.17085552293,0.012612792864763358,2.6079579711806624,0.026079579711806623,0.0029159042907477904,140,142,momentum,TRENDING,3.3544538965243267,0.87875,10152.409824910103
bt_28,BTCUSDT,long,71066.0,71195.81083703248,0.009583004340431297,1.2439778147172482,0.012439778147172481,0.0018266236601536198,143,145,momentum,MIXED,2.389551974085016,0.8549999999999999,10153.653802724819
bt_29,BTCUSDT,long,71305.0,71491.13646805724,0.010311659429197461,1.9193758659599942,0.019193758659599942,0.002610426590803509,146,148,momentum,MIXED,2.4387315683356636,0.8549999999999999,10155.57317859078
bt_30,BTCUSDT,long,71212.70000000001,71410.09153099306,0.009919620563897173,1.9580490899777583,0.019580490899777585,0.0027718585447967185,149,151,momentum,TRENDING,2.6543322155913676,0.87875,10157.531227680756
bt_31,BTCUSDT,long,70094.9,70270.72850901658,0.0139103233527841,2.4458314150586564,0.024458314150586566,0.0025084351217647535,164,166,momentum,MIXED,2.85563371144384,0.8549999999999999,10159.977059095814
bt_32,BTCUSDT,long,70402.5,70511.63369991531,0.009165795878250563,1.0002972168620154,0.010002972168620155,0.0015501395535004244,167,169,momentum,MIXED,2.112810408405396,0.8549999999999999,10160.977356312676
bt_33,BTCUSDT,long,64079.2,64204.01964601017,0.017839017225327033,2.2266598152347408,0.022266598152347408,0.0019478964470557585,204,206,momentum,MIXED,3.11589964455572,0.8549999999999999,10163.204016127911
