trade_id,symbol,signal_type,direction,entry_price,exit_price,quantity,pnl,pnl_pct,fees,exit_reason,entry_seq,exit_seq,strategy,regime,bars_held,atr_at_entry,stop_loss,take_profit,equity_after,entry_to_stop_dist_pct,entry_to_tp_dist_pct,realized_stop_pct,realized_tp_pct
bt_pos_1,BTCUSDT,long,LONG,114368.20000000001,114333.88954000002,0.004371844621144688,-5.649939999998979,-0.05649996499963978,0.39994,stop_loss,9,10,volatility_breakout,MIXED,1,114.3682,114333.88954000002,114711.30460000002,9994.25006,0.029999999999994163,0.30000000000000526,0.029999999999994163,0
bt_pos_2,BTCUSDT,long,LONG,114275.30000000002,114241.01741000001,0.004372882880202458,-5.646691318400025,-0.056499964999653846,0.39971003689964,stop_loss,10,11,volatility_breakout,MIXED,1,114.2753,114241.01741000001,114618.12590000001,9988.503426181001,0.03000000000000221,0.2999999999999966,0.03000000000000221,0
bt_pos_3,BTCUSDT,short,SHORT,114219.0,114253.2657,0.004372522709085617,-5.643564366813369,-0.05650116501165558,0.3996000680677972,stop_loss,11,12,momentum,MIXED,1,114.21900000000001,114253.2657,113876.343,9982.759976779926,0.03000000000000312,0.3000000000000057,0.03000000000000312,0
bt_pos_4,BTCUSDT,long,LONG,114416.70000000001,114382.37499000001,0.004362457568160908,-5.640199490320869,-0.05649996499965072,0.3992505025113363,stop_loss,13,14,volatility_breakout,MIXED,1,114.4167,114382.37499000001,114759.95010000002,9977.019949689837,0.03000000000000041,0.30000000000000415,0.03000000000000041,0
bt_pos_5,BTCUSDT,long,LONG,114503.30000000002,114440.40600000002,0.004356651707719269,-9.989225032771976,-0.10012333318359039,0.39897119508659135,stop_loss,18,19,volatility_breakout,MIXED,1,209.64666666666648,114440.40600000002,115132.24000000002,9966.930954457568,0.05492767457357144,0.5492767457357144,0.05492767457357144,0
