trade_id,symbol,signal_type,entry_price,exit_price,quantity,pnl,pnl_pct,fees,exit_reason,entry_seq,exit_seq,strategy,regime,bars_held,atr_at_entry,stop_loss,take_profit,equity_after
bt_pos_1,BTCUSDT,long,124277.70000000001,124349.0,0.0040232479358726465,9.639900480937419,0.09639996880906228,0.4001147430311311,time_exit,15,23,volatility_breakout,MIXED,8,262.70666666666705,123883.64000000001,124934.46666666667,10009.539900480937
bt_pos_2,BTCUSDT,long,123813.1,124229.9,0.004042197433260671,58.566520645229716,0.5851128713066907,0.4010555111753107,time_exit,35,43,momentum,MIXED,8,265.199999999999,123415.3,124476.1,10068.006325727163
bt_pos_3,BTCUSDT,long,124132.30000000002,124720.70000000001,0.004055353169854729,83.11226845903631,0.8255169583838075,0.40367472095114354,take_profit,44,51,volatility_breakout,MIXED,7,235.35999999999962,123779.26000000002,124720.70000000001,10151.017914122942
bt_pos_4,BTCUSDT,short,123825.4,123043.26666666666,0.004098923934072873,111.80191803271752,1.1013972885175236,0.4047583545490632,take_profit,55,56,momentum,MIXED,1,312.8533333333316,124294.68,123043.26666666666,10262.718321976517
bt_pos_5,BTCUSDT,long,121322.80000000002,121973.2,0.0042295093428343705,95.8689415982489,0.9341569873544779,0.41160908202969243,time_exit,78,86,momentum,MIXED,8,488.6800000000008,120589.78000000001,122544.50000000001,10358.484636391546
bt_pos_6,BTCUSDT,long,121956.80000000002,121458.41000000002,0.004246784368067851,-74.49291290555787,-0.719155942756572,0.41349276351118136,stop_loss,91,94,volatility_breakout,MIXED,3,332.26000000000056,121458.41000000002,122787.45000000001,10283.888138639624
bt_pos_7,BTCUSDT,long,121868.9,121995.0,0.00421924220971865,18.21005714847148,0.17707543105649612,0.41156834412264326,time_exit,99,107,momentum,MIXED,8,305.0533333333345,121411.31999999999,122631.53333333333,10301.99535690671
bt_pos_8,BTCUSDT,long,121537.20000000001,122334.21666666667,0.004238206638340652,117.8138154809103,1.1436133443009229,0.4134309828072823,take_profit,122,130,volatility_breakout,MIXED,8,318.80666666666804,121058.99,122334.21666666667,10419.70615243405
bt_pos_9,BTCUSDT,long,122484.80000000002,122959.1,0.004253469064093687,70.19211798423731,0.6736545050844773,0.4175952142482019,time_exit,133,141,volatility_breakout,MIXED,8,340.8666666666667,121973.50000000001,123336.96666666669,10489.794073356763
bt_pos_10,BTCUSDT,long,122825.70000000001,122315.78000000001,0.004270195111184696,-76.62974696811307,-0.7305244768139079,0.4187207797778325,stop_loss,143,150,volatility_breakout,MIXED,7,339.9466666666655,122315.78000000001,123675.56666666668,10413.059428447916
