trade_id,symbol,signal_type,direction,entry_price,exit_price,quantity,pnl,pnl_pct,fees,exit_reason,entry_seq,exit_seq,strategy,regime,bars_held,atr_at_entry,stop_loss,take_profit,equity_after,entry_to_stop_dist_pct,entry_to_tp_dist_pct,realized_stop_pct,realized_tp_pct
bt_pos_1,BTCUSDT,long,LONG,124277.70000000001,124146.34666666668,0.0040232479358726465,-18.89613456530539,-0.18896323528540673,0.39978861318911874,stop_loss,15,16,volatility_breakout,MIXED,1,262.70666666666705,124146.34666666668,125065.82,9981.003865434694,0.10569340544066437,0.6341604326439862,0.10569340544066437,0
bt_pos_2,BTCUSDT,long,LONG,124449.80000000002,124317.21333333335,0.0040100521919017515,-19.007808347762985,-0.1904417499884359,0.39902748283607425,stop_loss,19,20,volatility_breakout,MIXED,1,265.1733333333328,124317.21333333335,125245.32000000002,9961.896247048275,0.10653827219221707,0.6392296331532906,0.10653827219221707,0
bt_pos_3,BTCUSDT,long,LONG,123813.1,124229.9,0.004022957282811057,58.28775428432594,0.5851128713066908,0.3991465573201213,time_exit,35,43,momentum,MIXED,8,265.199999999999,123680.5,124608.7,10020.084382370129,0.1070969065470502,0.642581439282266,0,0.3366364302323327
bt_pos_4,BTCUSDT,long,LONG,124132.30000000002,124838.38000000002,0.00403605040040752,99.34016305010972,0.9914203580606615,0.4019432850814931,take_profit,44,51,volatility_breakout,MIXED,7,235.35999999999962,124014.62000000002,124838.38000000002,10119.324344576415,0.09480207810537064,0.568812468632259,0,0.568812468632259
bt_pos_5,BTCUSDT,short,SHORT,123825.4,122886.84,0.004086126248966858,133.82437388413922,1.3224767542211084,0.4032389439221645,take_profit,55,56,momentum,MIXED,1,312.8533333333316,123981.82666666666,122886.84,10253.047525217109,0.12632841619463075,0.7579704971677844,0,0.7579704971677844
bt_pos_6,BTCUSDT,long,LONG,122008.20000000001,121795.75333333334,0.004201786242734959,-31.652706684838183,-0.3087181946364779,0.40976483881615844,stop_loss,82,84,volatility_breakout,MIXED,2,424.89333333333394,121795.75333333334,123282.88000000002,10221.292288057019,0.17412490854440138,1.0447494512663964,0.17412490854440138,0
bt_pos_7,BTCUSDT,long,LONG,121956.80000000002,121790.67000000001,0.004190538079080879,-24.774666409606255,-0.2423853409191309,0.4085732218858497,stop_loss,91,92,volatility_breakout,MIXED,1,332.26000000000056,121790.67000000001,122953.58000000002,10196.415408724532,0.1362203665560302,0.8173221993361574,0.1362203665560302,0
bt_pos_8,BTCUSDT,long,LONG,121868.9,121716.37333333332,0.004183354165305723,-22.740158708330167,-0.2230233390916336,0.40760138712245325,stop_loss,99,100,momentum,MIXED,1,305.0533333333345,121716.37333333332,122784.06,10173.573285862114,0.12515634970584957,0.7509380982350735,0.12515634970584957,0
bt_pos_9,BTCUSDT,long,LONG,121911.30000000002,121760.20666666668,0.004172530883462859,-22.472146741449144,-0.22088966023759737,0.4066907547946371,stop_loss,103,108,volatility_breakout,MIXED,5,302.1866666666678,121760.20666666668,122817.86000000002,10150.999403387807,0.12393710290460178,0.7436226174275867,0.12393710290460178,0
bt_pos_10,BTCUSDT,long,LONG,121537.20000000001,121377.79666666668,0.004176087405085771,-23.704652546405537,-0.23352271686066886,0.4057737032344475,stop_loss,122,126,volatility_breakout,MIXED,4,318.80666666666804,121377.79666666668,122493.62000000001,10127.193240847368,0.13115600271631686,0.7869360162978891,0.13115600271631686,0
