trade_id,symbol,signal_type,direction,entry_price,exit_price,quantity,pnl,pnl_pct,fees,exit_reason,entry_seq,exit_seq,strategy,regime,bars_held,atr_at_entry,stop_loss,take_profit,equity_after,entry_to_stop_dist_pct,entry_to_tp_dist_pct,realized_stop_pct,realized_tp_pct
bt_pos_1,BTCUSDT,long,LONG,87234.20000000001,87636.8,0.005731696972059123,80.36441900080297,0.803652226530295,0.4009230324803804,time_exit,18,26,volatility_breakout,MIXED,8,308.9799999999998,87079.71,88161.14000000001,10080.264419000803,0.1770979730426888,1.0625878382560994,0,0.46151624019019055
bt_pos_2,BTCUSDT,long,LONG,87789.30000000002,87655.80000000002,0.0057411691510245565,-27.22851685648961,-0.27011979063819125,0.40290399832736745,stop_loss,28,32,volatility_breakout,MIXED,4,267.00000000000097,87655.80000000002,88590.30000000002,10052.935099500122,0.15206864617897622,0.9124118770738574,0.15206864617897622,0
bt_pos_3,BTCUSDT,long,LONG,87049.20000000001,86954.48000000001,0.00577428345091059,-19.54480312438764,-0.1944208172133256,0.40189862792861686,stop_loss,47,48,volatility_breakout,MIXED,1,189.43999999999943,86954.48000000001,87617.52,10033.28976702474,0.10881202814040927,0.6528721688424389,0.10881202814040927,0
bt_pos_4,BTCUSDT,long,LONG,90663.30000000002,91509.46000000002,0.0055332696730787095,163.4678969267629,1.6292715093242462,0.4032044032676186,take_profit,102,106,volatility_breakout,MIXED,4,282.0533333333335,90522.27333333335,91509.46000000002,10196.657331053833,0.1555498935806132,0.9332993614836469,0,0.9332993614836469
bt_pos_5,BTCUSDT,long,LONG,91322.70000000001,91201.96,0.00558276164143955,-23.999789088746336,-0.23537153706190894,0.4075966681859184,stop_loss,126,128,volatility_breakout,MIXED,2,241.47999999999786,91201.96,92047.14,10172.555575391776,0.13221247291199803,0.7932748374719403,0.13221247291199803,0
bt_pos_6,BTCUSDT,long,LONG,91349.30000000002,91553.1,0.005567943911662035,39.30878780007967,0.38642384994170625,0.40735612180334974,time_exit,130,138,volatility_breakout,MIXED,8,230.63999999999942,91233.98000000001,92041.22000000002,10211.7626376361,0.126240704635949,0.7574442278156462,0,0.22309968439822564
bt_pos_7,BTCUSDT,long,LONG,91489.30000000002,91390.72000000002,0.005580850786723748,-19.663859910830507,-0.19256280476910903,0.40825044139722194,stop_loss,140,141,volatility_breakout,MIXED,1,197.1600000000006,91390.72000000002,92080.78000000001,10191.996660098894,0.10775030522695193,0.6465018313616957,0.10775030522695193,0
bt_pos_8,BTCUSDT,short,SHORT,91324.30000000002,91426.23333333335,0.0055801121169824965,-20.31588738219675,-0.19933376374266834,0.4079073861753389,stop_loss,141,142,momentum,MIXED,1,203.86666666666667,91426.23333333335,90712.70000000001,10171.578852750095,0.11161687889568743,0.6697012733741247,0.11161687889568743,0
bt_pos_9,BTCUSDT,short,SHORT,91334.9,90757.07999999999,0.0055682870692090845,112.20579103450886,1.1031415547970946,0.4055761670562717,take_profit,143,148,momentum,MIXED,5,192.60666666666705,91431.20333333332,90757.07999999999,10283.682927996077,0.10543979720055494,0.6326387832033615,0,0.6326387832033615
bt_pos_10,BTCUSDT,long,LONG,90912.9,91431.0,0.005655788632854126,102.14672375110533,0.9932992483701806,0.41251942275611586,time_exit,159,167,momentum,MIXED,8,290.20000000000095,90767.79999999999,91783.5,10385.726814917904,0.15960331262120758,0.9576198757272135,0,0.5698861217715042
bt_pos_11,BTCUSDT,long,LONG,91375.70000000001,91446.3,0.005682980713098725,13.62705578209316,0.13121076932660897,0.41558955997205416,time_exit,168,176,volatility_breakout,MIXED,8,262.6133333333341,91244.39333333334,92163.54000000001,10399.250013431847,0.14369976554671637,0.8621985932802664,0,0.077263429992866
