trade_id,symbol,signal_type,direction,entry_price,exit_price,quantity,pnl,pnl_pct,fees,exit_reason,entry_seq,exit_seq,strategy,regime,bars_held,atr_at_entry,stop_loss,take_profit,equity_after,entry_to_stop_dist_pct,entry_to_tp_dist_pct,realized_stop_pct,realized_tp_pct
bt_pos_1,BTCUSDT,long,LONG,123813.1,124229.9,0.00403834489242253,58.51070201779776,0.5851128713066908,0.40067327286046467,time_exit,35,43,momentum,MIXED,8,265.199999999999,123415.3,124476.1,10058.410702017798,0.32129071964113887,0.5354845327352276,0,0.3366364302323327
bt_pos_2,BTCUSDT,long,LONG,121868.9,121995.0,0.004126734015822658,17.81079599828967,0.1770754310564961,0.40254458054447007,time_exit,99,107,momentum,MIXED,8,305.0533333333345,121411.31999999999,122631.53333333333,10076.120913909068,0.37546904911753676,0.625781748529224,0,0.10347184556519821
bt_pos_3,BTCUSDT,short,SHORT,122580.30000000002,121915.01666666669,0.004110008261486171,95.29924875945807,0.9458024826788588,0.40195110855787114,take_profit,147,150,momentum,MIXED,3,266.11333333333215,122979.47000000002,121915.01666666669,10171.319401459386,0.325639601143086,0.542732668571806,0,0.542732668571806
bt_pos_4,BTCUSDT,long,LONG,123231.4,123237.5,0.004126918707999498,0.47423429841871056,0.004662512522623905,0.40686284574002296,time_exit,183,191,momentum,MIXED,8,305.4733333333337,122773.18999999999,123995.08333333333,10171.69192256379,0.37182893321020977,0.6197148886836751,0,0.004950037084708784
bt_pos_5,BTCUSDT,long,LONG,121988.4,122052.6,0.004169122606150991,8.961043756051899,0.08809874930941583,0.40697473997107764,time_exit,207,215,momentum,MIXED,8,300.9866666666659,121536.92,122740.86666666665,10180.551249400616,0.37010076367916617,0.6168346061319436,0,0.05262795478915343
bt_pos_6,BTCUSDT,long,LONG,121619.6,122337.90000000001,0.004185407306635039,104.81480779125526,1.0295695525916224,0.40842460120336704,take_profit,230,237,momentum,MIXED,7,287.3200000000002,121188.62000000001,122337.90000000001,10285.264251679379,0.35436722370407064,0.5906120395067924,0,0.5906120395067924
bt_pos_7,BTCUSDT,long,LONG,120915.6,120897.6,0.004253075803155002,-3.090817703909044,-0.0300512319057869,0.41137994792139254,time_exit,263,271,momentum,MIXED,8,592.0000000000019,120027.6,122395.6,10282.070581332953,0.7343965542907614,1.2239942571512692,0.014886416641028948,0
bt_pos_8,BTCUSDT,long,LONG,121570.5,121186.23999999999,0.004228850988246718,-57.284872657971334,-0.5571391973950062,0.4106328319410206,stop_loss,323,330,momentum,MIXED,7,256.1733333333347,121186.23999999999,122210.93333333333,10224.68288796917,0.3160799700585334,0.5267999500975437,0.3160799700585334,0
bt_pos_9,BTCUSDT,short,SHORT,112111.6,111885.4,0.004560046814053661,35.69331590438166,0.3490932015418188,0.4085747224830312,time_exit,438,446,momentum,MIXED,8,336.6533333333345,112616.58,111269.96666666667,10260.273957044672,0.4504261824824513,0.7507103041374232,0,0.20176324305425275
bt_pos_10,BTCUSDT,short,SHORT,111844.0,111126.01666666666,0.00458686829738058,114.85623099971522,1.1194377465394114,0.40909364028590117,take_profit,456,461,momentum,MIXED,5,287.19333333333196,112274.79,111126.01666666666,10375.027585304817,0.3851704159364772,0.6419506932274751,0,0.6419506932274751
bt_pos_11,BTCUSDT,long,LONG,110402.5,109810.44,0.004698728554745055,-97.78141131600306,-0.942478353295112,0.41388833172094386,stop_loss,489,491,momentum,MIXED,2,394.7066666666661,109810.44,111389.26666666666,10277.14242371296,0.5362740879961936,0.8937901466603226,0.5362740879961936,0
bt_pos_12,BTCUSDT,short,SHORT,111464.0,111772.1,0.004610072500409531,-50.124370650450594,-0.4877316070225317,0.41165384228346885,time_exit,511,519,momentum,MIXED,8,308.88666666666785,111927.33,110691.78333333333,10226.915281638272,0.41567681045001237,0.6927946840833582,0.27641211512237657,0
bt_pos_13,BTCUSDT,short,SHORT,111611.6,112100.52,0.004581475080385136,-78.8090904717503,-0.7706124124449701,0.40997260118405177,stop_loss,533,539,momentum,MIXED,6,325.94666666666745,112100.52,110796.73333333334,10148.003922013706,0.4380548258424735,0.7300913764041269,0.4380548258424735,0
bt_pos_14,BTCUSDT,short,SHORT,115443.30000000002,114874.96666666669,0.004395232950727199,87.02358780429137,0.8575524676344752,0.40492097392308296,take_profit,667,675,momentum,MIXED,8,227.33333333333238,115784.30000000002,114874.96666666669,10234.926029778777,0.2953831014879165,0.49230516914652334,0,0.49230516914652334
bt_pos_15,BTCUSDT,short,SHORT,112740.0,112900.6,0.004539172445351595,-25.924376952951285,-0.2532957846874994,0.4096886376290405,time_exit,768,776,momentum,MIXED,8,297.2999999999971,113185.95,111996.75,10208.899303565528,0.39555614688663926,0.6592602448110697,0.14245165868370216,0
bt_pos_16,BTCUSDT,short,SHORT,112500.80000000002,111625.58333333336,0.0045372563144286645,138.58111461722416,1.3574676007807,0.4067675392036905,take_profit,806,813,momentum,MIXED,7,350.0866666666659,113025.93000000002,111625.58333333336,10347.378329189716,0.46677890290558344,0.7779648381759594,0,0.7779648381759594
bt_pos_17,BTCUSDT,short,SHORT,108441.80000000002,108929.76000000001,0.004770936266822256,-81.89573847014113,-0.7914715672924337,0.4148263435918921,stop_loss,968,971,momentum,MIXED,3,325.3066666666661,108929.76000000001,107628.53333333335,10265.379116936283,0.44997408748286344,0.749956812471448,0.44997408748286344,0
bt_pos_18,BTCUSDT,short,SHORT,106929.70000000001,106783.0,0.004800059813567363,24.23557361559599,0.23609275115587686,0.41033349716759115,time_exit,1051,1059,momentum,MIXED,8,276.10666666666606,107343.86000000002,106239.43333333335,10289.51203676071,0.38731989335049427,0.645533155584148,0,0.1371929407825998
bt_pos_19,BTCUSDT,short,SHORT,106938.6,106614.1,0.004810943867210114,54.22933895088241,0.5270403596978275,0.41095602095646466,time_exit,1065,1073,momentum,MIXED,8,241.51333333333508,107300.87000000001,106334.81666666667,10343.638480591226,0.338764487285231,0.5646074788087183,0,0.30344515450922305
bt_pos_20,BTCUSDT,long,LONG,106755.4,107362.33333333333,0.004844550477348793,102.49624927326992,0.9909208876386969,0.4149216668915366,take_profit,1079,1084,momentum,MIXED,5,242.7733333333337,106391.23999999999,107362.33333333333,10446.03129347969,0.34111623393290036,0.5685270565548294,0,0.5685270565548294
bt_pos_21,BTCUSDT,short,SHORT,106817.0,107167.08,0.004889685767939415,-60.330867741625,-0.5775539950181259,0.4185259642166437,stop_loss,1100,1103,momentum,MIXED,3,233.3866666666659,107167.08,106233.53333333334,10385.595965425131,0.32773809412359617,0.5462301568726512,0.32773809412359617,0
bt_pos_22,BTCUSDT,short,SHORT,106983.5,107007.1,0.00485383071474813,-4.424733829161896,-0.04260495104636529,0.4154696587789526,time_exit,1108,1116,momentum,MIXED,8,172.61999999999924,107242.43,106551.95,10381.067375636314,0.24202797627670905,0.40337996046119534,0.022059476461328918,0
bt_pos_23,BTCUSDT,short,SHORT,106997.9,106894.1,0.004851061271126029,17.20886431903741,0.165773285026451,0.41504127896147547,time_exit,1149,1157,momentum,MIXED,8,173.02000000000018,107257.43,106565.34999999999,10398.172429281596,0.24255616231720328,0.4042602705286767,0,0.09701124975348896
bt_pos_24,BTCUSDT,long,LONG,107195.4,106960.62999999999,0.004850101976988564,-40.268516873611674,-0.38726920366706646,0.4154714337948088,stop_loss,1166,1168,momentum,MIXED,2,156.51333333333412,106960.62999999999,107586.68333333333,10357.799930683692,0.21901126354302897,0.36501877257171494,0.21901126354302897,0
bt_pos_25,BTCUSDT,short,SHORT,107454.0,108159.79000000001,0.00481964372228288,-119.47364465601702,-1.1534769951530126,0.4156726597644478,stop_loss,1201,1207,momentum,MIXED,6,470.52666666666727,108159.79000000001,106277.68333333333,10238.222708028368,0.6568298993057571,1.0947164988429148,0.6568298993057571,0
bt_pos_26,BTCUSDT,short,SHORT,108850.0,108691.2,0.004702904321556439,25.72951203937254,0.25131089712367505,0.40923017983862947,time_exit,1231,1239,momentum,MIXED,8,312.87333333333083,109319.31,108067.81666666668,10263.84983784066,0.431152962792832,0.7185882713213778,0,0.1458888378502553
bt_pos_27,BTCUSDT,long,LONG,109224.80000000002,108901.30000000002,0.0046984978859382935,-53.60868832142351,-0.5223110748953251,0.409946007887186,stop_loss,1242,1244,momentum,MIXED,2,215.6666666666657,108901.30000000002,109763.96666666667,10210.13851102086,0.29617815734155606,0.4936302622359179,0.29617815734155606,0
bt_pos_28,BTCUSDT,long,LONG,110729.9,111038.9,0.004610380082986104,49.45228521407562,0.48434974401663144,0.4089753834190915,time_exit,1322,1330,momentum,MIXED,8,481.9533333333355,110006.96999999999,111934.78333333333,10259.488694849826,0.6528769555467924,1.0881282592446406,0,0.2790574180957447
bt_pos_29,BTCUSDT,short,SHORT,110506.9,110469.9,0.004642012713617805,5.601095618129225,0.054594841870211824,0.41031084600583156,time_exit,1335,1343,momentum,MIXED,8,285.3600000000006,110934.94,109793.5,10264.987195581007,0.3873423288500611,0.6455705480834176,0,0.03348207216019995
bt_pos_30,BTCUSDT,short,SHORT,108570.30000000002,109311.96000000002,0.004727345874323367,-123.12491886143367,-1.1994768992594527,0.4120019211597006,stop_loss,1398,1400,momentum,MIXED,2,494.4399999999975,109311.96000000002,107334.20000000003,10141.759626847617,0.6831149955374568,1.1385249925624146,0.6831149955374568,0
bt_pos_31,BTCUSDT,long,LONG,108436.30000000002,108002.14000000001,0.004676367428088019,-71.46506715865574,-0.7046684643095584,0.4048582684008733,stop_loss,1458,1461,momentum,MIXED,3,289.4400000000004,108002.14000000001,109159.90000000002,10070.193142092694,0.40038252872885133,0.6673042145480855,0.40038252872885133,0
bt_pos_32,BTCUSDT,long,LONG,107987.8,107644.4,0.004662653161788968,-56.44259561518843,-0.5604972938489182,0.40216726364540445,time_exit,1515,1523,momentum,MIXED,8,501.31999999999823,107235.82,109241.1,10013.649844546086,0.6963564402645446,1.1605940671075834,0.3179988850592463,0
bt_pos_33,BTCUSDT,short,SHORT,109228.6,109788.3,0.004583803987484087,-90.1960004286376,-0.9007395285225311,0.4015722158185614,stop_loss,1567,1569,momentum,MIXED,2,373.13333333333236,109788.3,108295.76666666668,9923.353707619002,0.5124115845117461,0.8540193075195768,0.5124115845117461,0
bt_pos_34,BTCUSDT,long,LONG,109542.6,109033.16,0.004529449596603971,-81.15790924247156,-0.8178557695405677,0.39601115518376256,stop_loss,1576,1582,momentum,MIXED,6,339.6266666666653,109033.16,110391.66666666667,9842.096564839456,0.46506108125971296,0.7751018020995171,0.46506108125971296,0
